               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  97,            0.026907,            0.012366,            0.012592,             0.61173,             0.60492,             0.67723,             0.49427,            0.032656,           0.0052638,            0.029183,            0.006832,            0.006832,            0.006832
                  98,            0.029962,            0.013451,           0.0095807,              0.5279,             0.75303,             0.67874,               0.501,            0.030979,           0.0053229,            0.028146,            0.006799,            0.006799,            0.006799
                  99,             0.02756,            0.012731,            0.009116,             0.59501,              0.7197,             0.67941,             0.43202,            0.033399,           0.0055072,            0.026343,            0.006766,            0.006766,            0.006766
                 100,            0.032283,            0.013306,           0.0083823,             0.73614,             0.65606,             0.71456,             0.51799,            0.031099,           0.0056824,            0.024516,            0.006733,            0.006733,            0.006733
                 101,             0.02956,            0.012056,             0.01037,             0.65866,              0.6503,              0.7049,             0.51798,            0.029858,           0.0054816,            0.023993,              0.0067,              0.0067,              0.0067
                 102,            0.025968,            0.013758,           0.0079598,             0.67157,             0.69219,              0.7372,             0.59046,            0.027764,           0.0053466,            0.021554,            0.006667,            0.006667,            0.006667
                 103,            0.027341,            0.011425,           0.0085001,             0.76252,             0.73209,             0.77082,             0.56733,            0.030386,           0.0057053,            0.021179,            0.006634,            0.006634,            0.006634
                 104,            0.029565,            0.012077,           0.0091472,             0.75517,             0.74227,             0.79788,             0.60604,            0.026824,           0.0051497,            0.019724,            0.006601,            0.006601,            0.006601
                 105,             0.02799,           0.0098538,            0.010808,             0.55139,             0.81919,             0.71506,             0.46828,            0.030113,           0.0065304,            0.023449,            0.006568,            0.006568,            0.006568
                 106,            0.029154,            0.011914,            0.010048,             0.69947,             0.79405,             0.75826,             0.56624,             0.02852,           0.0056885,            0.025011,            0.006535,            0.006535,            0.006535
                 107,            0.029242,            0.012496,           0.0095778,             0.70809,              0.7607,              0.8204,             0.58093,            0.031238,           0.0053406,            0.021919,            0.006502,            0.006502,            0.006502
                 108,            0.030853,            0.012059,           0.0074625,             0.80053,             0.72008,             0.83064,             0.52728,            0.031555,           0.0057656,            0.019303,            0.006469,            0.006469,            0.006469
                 109,            0.026242,            0.011633,           0.0080199,             0.74518,             0.76821,              0.7931,             0.60841,             0.03016,           0.0056265,            0.020084,            0.006436,            0.006436,            0.006436
                 110,            0.023667,            0.011071,           0.0085754,             0.69021,             0.74752,             0.80136,             0.60108,                0.03,           0.0052572,            0.019529,            0.006403,            0.006403,            0.006403
                 111,            0.027538,            0.011026,           0.0087961,             0.62813,             0.84493,             0.77446,             0.46924,            0.033611,           0.0052108,            0.020722,             0.00637,             0.00637,             0.00637
                 112,            0.027679,            0.010964,           0.0086722,             0.62066,             0.81967,              0.7808,             0.51495,            0.031675,           0.0052266,            0.020292,            0.006337,            0.006337,            0.006337
                 113,            0.026216,            0.010509,           0.0065179,             0.64735,             0.86136,             0.79176,             0.59648,            0.030999,           0.0056835,            0.020469,            0.006304,            0.006304,            0.006304
                 114,            0.030367,            0.011519,           0.0091935,             0.66355,              0.8072,             0.78042,             0.55729,            0.029628,           0.0057352,             0.02217,            0.006271,            0.006271,            0.006271
                 115,            0.028935,             0.01195,           0.0083821,             0.68729,             0.76641,             0.74609,             0.56565,            0.028048,            0.005894,            0.024113,            0.006238,            0.006238,            0.006238
                 116,            0.029824,            0.011275,           0.0075479,             0.73673,             0.70154,             0.73996,             0.56224,            0.030383,           0.0058383,            0.021986,            0.006205,            0.006205,            0.006205
                 117,            0.026966,            0.009652,           0.0083145,              0.6192,             0.77761,             0.77092,             0.56849,            0.029918,           0.0059062,            0.020627,            0.006172,            0.006172,            0.006172
